ID;zona;county_road_area;interstate;stateroute;autopista;notchp;num;calle;mal_tiempo;buen_tiempo;alta_vel;mal_giro/dir;alcohol;mal_cmbio_linea;peaton_incumplimiento;por_señales;otra_causa;floor_dry;floor_wet;tow_away;pedestrian_collision;bicycle_collision;truck_collision;motorcycle_collision;complaint_of_pain_injury_count;collision_time;collision_date;party_count;male;victim_age;air_bag;car_belt;insurance;cellphone;marca;piel_clara;asiatico;hispano;conductor_victima;pasajero_victima;victimas_heridas;muertos
3858022;fresno;0;0;0;0;1;1STST;EASTCLINTON;0;1;;;;;;;;1;0;1;0;0;0;0;0;17:11:00;27/04/2009;1;1;47;0;1;1;;dodge;0;0;0;1;0;0;0
3858022;fresno;0;0;0;0;1;1STST;EASTCLINTON;0;1;;;;;;;;1;0;1;0;0;0;0;0;17:11:00;27/04/2009;1;1;47;0;1;1;;dodge;0;0;0;1;0;0;0
3858022;fresno;0;0;0;0;1;1STST;EASTCLINTON;0;1;;;;;;;;1;0;0;0;0;0;0;0;17:11:00;27/04/2009;2;1;58;0;1;1;;nissan;0;0;1;1;0;0;0
3858022;fresno;0;0;0;0;1;1STST;EASTCLINTON;0;1;;;;;;;;1;0;1;0;0;0;0;0;17:11:00;27/04/2009;2;1;58;0;1;1;;nissan;0;0;1;1;0;0;0
3899450;losangeles;0;1;0;0;0;RT710;CARSONST;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;20:40:00;30/12/2009;1;0;72;0;1;1;0;toyota;0;0;0;1;0;1;0
3899450;losangeles;0;1;0;0;0;RT710;CARSONST;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;20:40:00;30/12/2009;2;1;20;0;1;1;0;honda;0;1;0;1;0;1;0
3899453;losangeles;0;0;1;0;0;RT91;SUSANARD;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;18:20:00;12/01/2010;1;1;24;0;1;1;0;honda;0;0;0;1;0;1;0
3899453;losangeles;0;0;1;0;0;RT91;SUSANARD;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;18:20:00;12/01/2010;1;1;24;0;1;1;0;honda;0;0;0;1;0;1;0
3899453;losangeles;0;0;1;0;0;RT91;SUSANARD;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;18:20:00;12/01/2010;2;1;66;1;1;0;0;toyota;0;1;0;1;0;1;0
3899453;losangeles;0;0;1;0;0;RT91;SUSANARD;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;18:20:00;12/01/2010;2;1;66;1;1;0;0;toyota;0;1;0;1;0;1;0
3899453;losangeles;0;0;1;0;0;RT91;SUSANARD;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;18:20:00;12/01/2010;3;1;42;0;1;1;0;toyota;0;0;1;1;0;1;0
3899453;losangeles;0;0;1;0;0;RT91;SUSANARD;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;18:20:00;12/01/2010;3;1;42;0;1;1;0;toyota;0;0;1;1;0;1;0
3899454;losangeles;1;0;0;0;0;BANDINIST;1STST;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;2;18:20:00;01/10/2009;1;0;29;;;;0;;0;0;1;0;1;2;0
3899454;losangeles;1;0;0;0;0;BANDINIST;1STST;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;2;18:20:00;01/10/2009;1;0;29;;;;0;;0;0;1;0;1;2;0
3899454;losangeles;1;0;0;0;0;BANDINIST;1STST;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;2;18:20:00;01/10/2009;2;0;7;;;;0;;0;0;1;0;1;2;0
3899454;losangeles;1;0;0;0;0;BANDINIST;1STST;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;2;18:20:00;01/10/2009;2;0;7;;;;0;;0;0;1;0;1;2;0
3899454;losangeles;1;0;0;0;0;BANDINIST;1STST;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;2;18:20:00;01/10/2009;3;0;51;0;1;1;0;volkswagen;1;0;0;1;0;2;0
3899454;losangeles;1;0;0;0;0;BANDINIST;1STST;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;2;18:20:00;01/10/2009;3;0;51;0;1;1;0;volkswagen;1;0;0;1;0;2;0
3899457;losangeles;0;1;0;0;0;RT405;ALAMEDAST;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;13:50:00;11/01/2010;1;0;34;0;1;1;0;volvo;0;1;0;1;0;0;0
3899457;losangeles;0;1;0;0;0;RT405;ALAMEDAST;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;13:50:00;11/01/2010;1;0;34;0;1;1;0;volvo;0;1;0;1;0;0;0
3899457;losangeles;0;1;0;0;0;RT405;ALAMEDAST;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;13:50:00;11/01/2010;2;0;56;0;1;1;0;toyota;0;0;1;1;0;0;0
3899457;losangeles;0;1;0;0;0;RT405;ALAMEDAST;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;13:50:00;11/01/2010;2;0;56;0;1;1;0;toyota;0;0;1;1;0;0;0
3899458;losangeles;0;1;0;0;0;RT405;WARDLOWRD;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2:30:00;22/01/2010;1;1;29;0;1;1;0;cadillac;0;0;0;1;0;0;0
3899466;losangeles;0;0;1;0;0;RT47;OCEANBL;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1:15:00;10/02/2010;1;0;65;1;1;1;0;lexus;1;0;0;1;0;0;0
3899474;losangeles;0;1;0;0;0;RT110;SEPULVEDABL;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;7:25:00;13/01/2010;1;0;40;0;1;1;0;honda;0;0;1;1;0;1;0
